
episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
1,S,4833,0,25,2
2,S,4999,0,25,2
1,S,4747,0,25,2
2,S,4999,0,25,2
1,S,4743,0,25,2
2,S,4999,0,25,2
1,S,4638,0,25,2
2,S,4999,0,25,2
3,S,4897,0,25,2
4,S,4999,0,25,2
5,S,4973,0,25,2
6,S,4999,0,25,2
3,S,4664,6,25,2
4,S,4999,0,25,2
5,S,4965,0,25,2
6,S,4999,0,25,2
1,S,4342,2,25,2
2,S,4999,0,25,2
3,S,4474,0,25,2
4,S,4999,0,25,2
1,S,4290,0,25,2
2,S,4999,0,25,2
7,S,4731,1,25,2
8,S,4999,0,25,2
1,S,3981,2,25,2
2,S,4999,0,25,2
7,S,4448,2,25,2
8,S,4999,0,25,2
3,S,4418,2,25,2
4,S,4999,0,25,2
5,S,4392,0,25,2
6,S,4999,0,25,2
1,S,3633,6,25,2
2,S,4999,0,25,2
3,S,4643,0,25,2
4,S,4999,0,25,2
9,S,4497,1,25,2
10,S,4999,0,25,2
9,S,4607,0,25,2
10,S,4999,0,25,2
1,S,3544,7,25,2
2,S,4999,0,25,2
3,S,4201,5,25,2
4,S,4999,0,25,2
3,S,3714,0,25,2
4,S,4999,0,25,2
11,S,4549,0,25,2
12,S,4999,0,25,2
5,S,4514,0,25,2
6,S,4999,0,25,2
11,S,4339,0,25,2
12,S,4999,0,25,2
3,S,4253,0,25,2
4,S,4999,0,25,2
5,S,4987,0,25,2
6,S,4999,0,25,2
5,S,4007,4,25,2
6,S,4999,0,25,2
7,S,4585,5,25,2
8,S,4999,0,25,2
5,S,3688,6,25,2
6,S,4999,0,25,2
9,S,4817,0,25,2
10,S,4999,0,25,2
5,S,3807,4,25,2
6,S,4999,0,25,2
3,S,3473,7,25,2
4,S,4999,0,25,2
7,S,3303,5,25,2
8,S,4999,0,25,2
11,S,4649,1,25,2
12,S,4999,0,25,2
7,S,3810,1,25,2
8,S,4999,0,25,2
13,S,4746,0,25,2
14,S,4999,0,25,2
7,S,4200,5,25,2
8,S,4999,0,25,2
7,S,3934,8,25,2
8,S,4999,0,25,2
13,S,3307,19,25,2
14,S,4999,0,25,2
13,S,3397,14,25,2
14,S,4999,0,25,2
5,S,4308,6,25,2
6,S,4999,0,25,2
9,S,4723,2,25,2
10,S,4999,0,25,2
9,S,4425,1,25,2
10,S,4999,0,25,2
7,S,4885,0,25,2
8,S,4999,0,25,2
9,S,4060,10,25,2
