
episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20
1,S,4866,0,300,20
2,S,4999,0,300,20
3,S,4442,3,300,20
4,S,4999,0,300,20
5,S,4783,1,300,20
6,S,4999,0,300,20
7,S,4790,2,300,20
8,S,4999,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20
1,S,4627,2,300,20
2,S,4999,0,300,20
3,S,4316,5,300,20
4,S,4999,0,300,20
5,S,4933,0,300,20
6,S,4999,0,300,20
7,S,4750,1,300,20
8,S,4999,0,300,20
9,S,4794,2,300,20
10,S,4999,0,300,20
11,S,4551,2,300,20
12,S,4999,0,300,20
13,S,4780,0,300,20
14,S,4999,0,300,20
15,S,4849,1,300,20
16,S,4999,0,300,20
17,S,4706,1,300,20
18,S,4999,0,300,20
19,S,4788,3,300,20
20,S,4999,0,300,20
21,S,4577,2,300,20
22,S,4999,0,300,20
23,S,4739,0,300,20
24,S,4999,0,300,20
25,S,4752,2,300,20
26,S,4999,0,300,20
27,S,4804,0,300,20
28,S,4999,0,300,20
29,S,4806,1,300,20
30,S,4999,0,300,20
31,S,4127,6,300,20
32,S,4999,0,300,20
33,S,4885,1,300,20
34,S,4999,0,300,20
35,S,4894,0,300,20
36,S,4999,0,300,20
37,S,4757,1,300,20
38,S,4999,0,300,20
39,S,4615,1,300,20
40,S,4999,0,300,20
41,S,4703,2,300,20
42,S,4999,0,300,20
43,S,4967,0,300,20
44,S,4999,0,300,20
45,S,4782,1,300,20
46,S,4999,0,300,20
47,S,4962,0,300,20
48,S,4999,0,300,20
49,S,4749,1,300,20
50,S,4999,0,300,20
51,S,4997,0,300,20
52,S,4999,0,300,20
53,S,4877,0,300,20
54,S,4999,0,300,20
55,S,4893,0,300,20
56,S,4999,0,300,20
0,T,5000,0,25,0

episode,successRate,timeRemaining,seekCount,velocity,range
57,S,4755,1,300,20
58,S,4999,0,300,20
59,S,4787,2,300,20
60,S,4999,0,300,20
0,S,4434,0,25,2
1,S,4999,0,25,2

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,0,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20
1,S,4834,0,300,20
2,S,4999,0,300,20
3,S,4045,6,300,20
4,S,4999,0,300,20
5,S,4823,0,300,20
6,S,4999,0,300,20
7,S,4555,3,300,20
8,S,4999,0,300,20
9,S,4775,0,300,20
10,S,4999,0,300,20
11,S,4684,1,300,20
12,S,4999,0,300,20
13,S,4669,2,300,20
14,S,4999,0,300,20
15,S,4960,0,300,20
16,S,4999,0,300,20
17,S,4616,0,300,20
18,S,4999,0,300,20
19,S,4784,1,300,20
20,S,4999,0,300,20

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,300,20
1,T,5000,0,300,20
2,T,5000,0,300,20
3,T,5000,0,300,20
4,T,5000,0,300,20
5,T,5000,0,300,20
6,T,5000,0,300,20
7,T,5000,0,300,20
8,T,5000,0,300,20
9,T,5000,0,300,20
10,T,5000,0,300,20
11,T,5000,0,300,20
12,T,5000,0,300,20
13,T,5000,0,300,20
14,T,5000,0,300,20
15,T,5000,0,300,20
16,T,5000,0,300,20
17,T,5000,0,300,20
18,T,5000,0,300,20
19,T,5000,0,300,20
20,T,5000,0,300,20
21,T,5000,0,300,20
22,T,5000,0,300,20
23,T,5000,0,300,20
24,T,5000,0,300,20
25,T,5000,0,300,20
26,T,5000,0,300,20
27,T,5000,0,300,20
28,T,5000,0,300,20
29,T,5000,0,300,20
30,T,5000,0,300,20
31,T,5000,0,300,20
32,T,5000,0,300,20
33,T,5000,0,300,20
34,T,5000,0,300,20
35,T,5000,0,300,20
36,T,5000,0,300,20
37,T,5000,0,300,20
38,T,5000,0,300,20
39,T,5000,0,300,20
40,T,5000,0,300,20
41,T,5000,0,300,20
42,T,5000,0,300,20
43,T,5000,0,300,20
44,T,5000,0,300,20
45,T,5000,0,300,20
46,T,5000,0,300,20
47,T,5000,0,300,20
48,T,5000,0,300,20
49,T,5000,0,300,20
50,T,5000,0,300,20
51,T,5000,0,300,20
52,T,5000,0,300,20
53,T,5000,0,300,20
54,T,5000,0,300,20
55,T,5000,0,300,20
56,T,5000,0,300,20
57,T,5000,0,300,20
58,T,5000,0,300,20
59,T,5000,0,300,20
60,T,5000,0,300,20
61,T,5000,0,300,20
62,T,5000,0,300,20
63,T,5000,0,300,20
64,T,5000,0,300,20
65,T,5000,0,300,20
66,T,5000,0,300,20
67,T,5000,0,300,20
68,T,5000,0,300,20
69,T,5000,0,300,20
70,T,5000,0,300,20
71,T,5000,0,300,20
72,T,5000,0,300,20
73,T,5000,0,300,20
74,T,5000,0,300,20
75,T,5000,0,300,20
76,T,5000,0,300,20
77,T,5000,0,300,20
78,T,5000,0,300,20
79,T,5000,0,300,20
80,T,5000,0,300,20
81,T,5000,0,300,20
82,T,5000,0,300,20
83,T,5000,0,300,20
84,T,5000,0,300,20
85,T,5000,0,300,20
86,T,5000,0,300,20
87,T,5000,0,300,20
88,T,5000,0,300,20
89,T,5000,0,300,20
90,T,5000,0,300,20
91,T,5000,0,300,20
92,T,5000,0,300,20
93,T,5000,0,300,20
94,T,5000,0,300,20
95,T,5000,0,300,20
96,T,5000,0,300,20
97,T,5000,0,300,20
98,T,5000,0,300,20
99,T,5000,0,300,20
100,T,5000,0,300,20
101,T,5000,0,300,20
102,T,5000,0,300,20
103,T,5000,0,300,20
104,T,5000,0,300,20
105,T,5000,0,300,20
106,T,5000,0,300,20
107,T,5000,0,300,20
108,T,5000,0,300,20
109,T,5000,0,300,20
110,T,5000,0,300,20
111,T,5000,0,300,20
112,T,5000,0,300,20
113,T,5000,0,300,20
114,T,5000,0,300,20
115,T,5000,0,300,20
116,T,5000,0,300,20
117,T,5000,0,300,20
118,T,5000,0,300,20
119,T,5000,0,300,20
120,T,5000,0,300,20
121,T,5000,0,300,20
122,T,5000,0,300,20
123,T,5000,0,300,20
124,T,5000,0,300,20
125,T,5000,0,300,20
126,T,5000,0,300,20
127,T,5000,0,300,20
128,T,5000,0,300,20
129,T,5000,0,300,20
130,T,5000,0,300,20
131,T,5000,0,300,20
132,T,5000,0,300,20
133,T,5000,0,300,20
134,T,5000,0,300,20
135,T,5000,0,300,20
136,T,5000,0,300,20
137,T,5000,0,300,20
138,T,5000,0,300,20
139,T,5000,0,300,20
140,T,5000,0,300,20
141,T,5000,0,300,20
142,T,5000,0,300,20
143,T,5000,0,300,20
144,T,5000,0,300,20
145,T,5000,0,300,20
146,T,5000,0,300,20
147,T,5000,0,300,20
148,T,5000,0,300,20
149,T,5000,0,300,20
150,T,5000,0,300,20
151,T,5000,0,300,20
152,T,5000,0,300,20
153,T,5000,0,300,20
154,T,5000,0,300,20
155,T,5000,0,300,20
156,T,5000,0,300,20
157,T,5000,0,300,20
158,T,5000,0,300,20
159,T,5000,0,300,20
160,T,5000,0,300,20
161,T,5000,0,300,20
162,T,5000,0,300,20
163,T,5000,0,300,20
164,T,5000,0,300,20
165,T,5000,0,300,20
166,T,5000,0,300,20
167,T,5000,0,300,20
168,T,5000,0,300,20
169,T,5000,0,300,20
170,T,5000,0,300,20
171,T,5000,0,300,20
172,T,5000,0,300,20
173,T,5000,0,300,20
174,T,5000,0,300,20
175,T,5000,0,300,20
176,T,5000,0,300,20
177,T,5000,0,300,20
178,T,5000,0,300,20
179,T,5000,0,300,20
180,T,5000,0,300,20
181,T,5000,0,300,20
182,T,5000,0,300,20
183,T,5000,0,300,20
184,T,5000,0,300,20
185,T,5000,0,300,20
186,T,5000,0,300,20
187,T,5000,0,300,20
188,T,5000,0,300,20
189,T,5000,0,300,20
190,T,5000,0,300,20
191,T,5000,0,300,20
192,T,5000,0,300,20
193,T,5000,0,300,20
194,T,5000,0,300,20
195,T,5000,0,300,20
196,T,5000,0,300,20
197,T,5000,0,300,20
198,T,5000,0,300,20
199,T,5000,0,300,20
200,T,5000,0,300,20
201,T,5000,0,300,20
202,T,5000,0,300,20
203,T,5000,0,300,20
204,T,5000,0,300,20
205,T,5000,0,300,20
206,T,5000,0,300,20
207,T,5000,0,300,20
208,T,5000,0,300,20
209,T,5000,0,300,20
210,T,5000,0,300,20
211,T,5000,0,300,20
212,T,5000,0,300,20
213,T,5000,0,300,20
214,T,5000,0,300,20
215,T,5000,0,300,20
216,T,5000,0,300,20
217,T,5000,0,300,20
218,T,5000,0,300,20
219,T,5000,0,300,20
220,T,5000,0,300,20
221,T,5000,0,300,20
222,T,5000,0,300,20
223,T,5000,0,300,20
224,T,5000,0,300,20
225,T,5000,0,300,20
226,T,5000,0,300,20
227,T,5000,0,300,20
228,T,5000,0,300,20
229,T,5000,0,300,20
230,T,5000,0,300,20
231,T,5000,0,300,20
232,T,5000,0,300,20
233,T,5000,0,300,20
234,T,5000,0,300,20
