
episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
1,S,4949,0,25,2
2,S,4999,0,25,2
1,S,4755,2,25,2
2,S,4999,0,25,2
3,S,4369,0,25,2
4,S,4999,0,25,2
1,S,4261,2,25,2
2,S,4999,0,25,2
1,S,4260,2,25,2
2,S,4999,0,25,2
1,S,4228,1,25,2
2,S,4999,0,25,2
3,S,4419,2,25,2
4,S,4999,0,25,2
1,S,4114,5,25,2
2,S,4999,0,25,2
1,S,4070,3,25,2
2,S,4999,0,25,2
1,S,4016,3,25,2
2,S,4999,0,25,2
3,S,4602,2,25,2
4,S,4999,0,25,2
1,S,3807,9,25,2
2,S,4999,0,25,2
5,S,4409,3,25,2
6,S,4999,0,25,2
3,S,4574,0,25,2
4,S,4999,0,25,2
5,S,4777,0,25,2
6,S,4999,0,25,2
3,S,4472,7,25,2
4,S,4999,0,25,2
3,S,4429,4,25,2
4,S,4999,0,25,2
3,S,4092,0,25,2
4,S,4999,0,25,2
5,S,4839,0,25,2
6,S,4999,0,25,2
3,S,3974,0,25,2
4,S,4999,0,25,2
7,S,4443,1,25,2
5,S,3907,2,25,2
8,S,4999,0,25,2
6,S,4999,0,25,2
7,S,4335,0,25,2
8,S,4999,0,25,2
7,S,4676,0,25,2
8,S,4999,0,25,2
5,S,3946,0,25,2
6,S,4999,0,25,2
9,S,4353,2,25,2
10,S,4999,0,25,2
5,S,3447,0,25,2
6,S,4999,0,25,2
3,S,3244,0,25,2
4,S,4999,0,25,2
9,S,3921,2,25,2
10,S,4999,0,25,2
11,S,4462,0,25,2
12,S,4999,0,25,2
5,S,3483,0,25,2
6,S,4999,0,25,2
7,S,3633,0,25,2
8,S,4999,0,25,2
7,S,4103,0,25,2
8,S,4999,0,25,2
5,S,2885,0,25,2
6,S,4999,0,25,2
11,S,4107,0,25,2
12,S,4999,0,25,2
9,S,2939,7,25,2
10,S,4999,0,25,2
9,S,4067,0,25,2
10,S,4999,0,25,2
5,S,3601,1,25,2
6,S,4999,0,25,2
13,S,4501,1,25,2
14,S,4999,0,25,2
7,S,4862,0,25,2
8,S,4999,0,25,2
9,S,4980,0,25,2
10,S,4999,0,25,2
9,S,3730,0,25,2
10,S,4999,0,25,2
11,S,4763,1,25,2
12,S,4999,0,25,2
11,S,4458,0,25,2
12,S,4999,0,25,2
13,S,4785,1,25,2
14,S,4999,0,25,2
15,S,4988,0,25,2
16,S,4999,0,25,2
11,S,4482,0,25,2
