
episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
0,T,5000,0,25,2
1,S,4989,0,25,2
2,S,4999,0,25,2
1,S,4963,0,25,2
2,S,4999,0,25,2
3,S,4954,0,25,2
4,S,4999,0,25,2
5,S,4979,0,25,2
6,S,4999,0,25,2
1,S,4887,0,25,2
2,S,4999,0,25,2
7,S,4947,0,25,2
8,S,4999,0,25,2
3,S,4815,0,25,2
4,S,4999,0,25,2
3,S,4842,2,25,2
4,S,4999,0,25,2
1,S,4494,0,25,2
2,S,4999,0,25,2
1,S,4483,0,25,2
2,S,4999,0,25,2
1,S,4459,0,25,2
2,S,4999,0,25,2
1,S,4451,0,25,2
2,S,4999,0,25,2
5,S,4715,1,25,2
6,S,4999,0,25,2
1,S,4312,3,25,2
2,S,4999,0,25,2
1,S,4117,2,25,2
2,S,4999,0,25,2
7,S,4629,0,25,2
8,S,4999,0,25,2
5,S,4243,0,25,2
6,S,4999,0,25,2
9,S,4199,2,25,2
10,S,4999,0,25,2
3,S,4488,0,25,2
4,S,4999,0,25,2
3,S,4463,0,25,2
4,S,4999,0,25,2
7,S,4820,2,25,2
8,S,4999,0,25,2
3,S,4364,0,25,2
4,S,4999,0,25,2
5,S,4769,0,25,2
6,S,4999,0,25,2
3,S,4593,0,25,2
4,S,4999,0,25,2
3,S,4154,1,25,2
4,S,4999,0,25,2
7,S,4847,0,25,2
8,S,4999,0,25,2
9,S,4680,1,25,2
5,S,4630,1,25,2
10,S,4999,0,25,2
6,S,4999,0,25,2
5,S,4833,0,25,2
6,S,4999,0,25,2
5,S,4785,0,25,2
6,S,4999,0,25,2
7,S,4947,0,25,2
8,S,4999,0,25,2
7,S,4794,0,25,2
8,S,4999,0,25,2
9,S,4828,0,25,2
10,S,4999,0,25,2
9,S,4061,1,25,2
10,S,4999,0,25,2
5,S,4236,0,25,2
6,S,4999,0,25,2
11,S,4035,0,25,2
12,S,4999,0,25,2
3,S,3725,2,25,2
4,S,4999,0,25,2
11,S,4473,1,25,2
12,S,4999,0,25,2
9,S,4455,1,25,2
10,S,4999,0,25,2
7,S,4398,0,25,2
8,S,4999,0,25,2
11,S,4685,0,25,2
12,S,4999,0,25,2
9,S,4321,3,25,2
10,S,4999,0,25,2
13,S,4623,0,25,2
14,S,4999,0,25,2
5,S,4368,0,25,2
6,S,4999,0,25,2
15,S,4749,2,25,2
16,S,4999,0,25,2
11,S,4211,0,25,2
12,S,4999,0,25,2
13,S,4347,6,25,2
