
episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range

episode,successRate,timeRemaining,seekCount,velocity,range
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
0,T,5000,0,25,3
1,S,4896,0,25,3
2,S,4999,0,25,3
1,S,4880,0,25,3
2,S,4999,0,25,3
1,S,4814,0,25,3
2,S,4999,0,25,3
1,S,4461,0,25,3
2,S,4999,0,25,3
1,S,4445,0,25,3
2,S,4999,0,25,3
1,S,4410,0,25,3
2,S,4999,0,25,3
1,S,4400,0,25,3
2,S,4999,0,25,3
3,S,4581,0,25,3
4,S,4999,0,25,3
3,S,4315,0,25,3
4,S,4999,0,25,3
3,S,4736,0,25,3
4,S,4999,0,25,3
3,S,4116,0,25,3
4,S,4999,0,25,3
1,S,4010,1,25,3
2,S,4999,0,25,3
3,S,4496,0,25,3
4,S,4999,0,25,3
5,S,4604,0,25,3
6,S,4999,0,25,3
1,S,3663,1,25,3
2,S,4999,0,25,3
3,S,4151,0,25,3
4,S,4999,0,25,3
5,S,4492,0,25,3
6,S,4999,0,25,3
5,S,3983,0,25,3
6,S,4999,0,25,3
7,S,4310,0,25,3
8,S,4999,0,25,3
3,S,3620,3,25,3
4,S,4999,0,25,3
7,S,4166,1,25,3
8,S,4999,0,25,3
3,S,3516,0,25,3
4,S,4999,0,25,3
7,S,4023,0,25,3
8,S,4999,0,25,3
5,S,4867,0,25,3
6,S,4999,0,25,3
9,S,4087,0,25,3
10,S,4999,0,25,3
5,S,3463,1,25,3
6,S,4999,0,25,3
11,S,4794,0,25,3
12,S,4999,0,25,3
3,S,3013,0,25,3
4,S,4999,0,25,3
9,S,3893,0,25,3
10,S,4999,0,25,3
9,S,3602,1,25,3
10,S,4999,0,25,3
13,S,3455,1,25,3
14,S,4999,0,25,3
15,S,4901,0,25,3
16,S,4999,0,25,3
7,S,2971,0,25,3
8,S,4999,0,25,3
5,S,1673,2,25,3
6,S,4999,0,25,3
11,S,3470,0,25,3
12,S,4999,0,25,3
7,S,3811,1,25,3
8,S,4999,0,25,3
6,S,3996,0,25,3
7,S,4999,0,25,3
9,S,3011,6,25,3
10,S,4999,0,25,3
13,S,2847,2,25,3
14,S,4999,0,25,3
6,S,2157,3,25,3
7,S,4999,0,25,3
9,S,4980,0,25,3
10,S,4999,0,25,3
20,S,4879,0,39.75,10.90001
21,S,4999,0,39.75,11.00001
15,S,1895,15,54.75,16.40003
16,S,4999,0,54.75,16.50003
17,S,4351,0,54.75,16.60003
18,S,4999,0,54.75,16.70003
9,S,819,14,56.5,16.50003
10,S,4999,0,56.5,16.60003
