
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,399
1,S,4690,3
2,S,4944,0
3,S,4925,0
4,S,4889,0
5,S,4795,0
0,T,5000,399
6,S,4651,2
1,S,4539,3
2,S,4982,0
0,T,5000,399
3,S,4904,0
4,S,4926,0
1,S,4808,1
5,S,4889,0
7,S,4199,4
2,S,4796,2
3,S,4733,2
4,S,4966,0
6,S,4559,2
7,S,4919,2
8,S,4488,4
9,S,4894,0
8,S,4774,2
10,S,4877,0
5,S,4606,2
9,S,4899,0
11,S,4908,0
12,S,4823,0
13,S,4961,0
6,S,4704,2
10,S,4658,2
7,S,4930,0
11,S,4980,0
14,S,4904,2
8,S,4893,0
0,T,5000,399

episode,successRate,timeRemaining,agentSuccessCount
12,S,4838,0
13,S,4907,0
9,S,4834,0
15,S,4677,2
0,S,4773,1
10,S,4847,0
14,S,4832,0
16,S,4806,2
1,S,4803,0
15,S,4815,2
17,S,4866,0
0,T,5000,399
16,S,4874,0
1,S,4968,1
11,S,4640,2
2,S,4919,0
12,S,4934,0
17,S,4886,0
3,S,4922,0
13,S,4901,0
4,S,4948,0
18,S,4699,2
2,S,4577,2
19,S,4942,0
3,S,4931,0
14,S,4895,0
20,S,4933,0
5,S,4847,0
4,S,4882,2
18,S,4631,2
21,S,4827,0
5,S,4898,0
19,S,4948,0
15,S,4715,2
6,S,4745,2
22,S,4858,0
20,S,4854,0
7,S,4925,0
0,T,5000,399

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,399

episode,successRate,timeRemaining,agentSuccessCount
23,S,4866,2
16,S,4773,2
21,S,4824,0
0,S,4883,1
24,S,4912,0
17,S,4913,0
8,S,4717,2
22,S,4876,0
25,S,4891,0
18,S,4899,0
1,S,4817,0
6,S,4436,4
9,S,4862,2
2,S,4928,0
19,S,4871,0
26,S,4826,2
27,S,4917,0
10,S,4834,0
23,S,4663,2
20,S,4793,0
7,S,4703,2
21,S,4923,0
0,S,4342,3
11,S,4835,0
8,S,4932,0
22,S,4948,0
3,S,4597,2
28,S,4703,2
12,S,4843,0
23,S,4830,2
24,S,4664,2
9,S,4773,2
29,S,4857,0
30,S,4948,0
24,S,4878,0
25,S,4826,2
25,S,4928,0
1,S,4574,2
4,S,4621,2
0,T,5000,399

episode,successRate,timeRemaining,agentSuccessCount
13,S,4622,0
26,S,4816,0
10,S,4662,2
2,S,4703,2
14,S,4792,2
0,S,4704,3
15,S,4917,0
1,S,4937,0
27,S,4689,2
5,S,4572,2
31,S,4406,4
6,S,4956,0
32,S,4904,0
3,S,4653,2
2,S,4750,2
33,S,4873,0
7,S,4798,2
11,S,4438,4
26,S,4235,4
16,S,4589,2
0,T,5000,399

episode,successRate,timeRemaining,agentSuccessCount
4,S,4818,0
34,S,4852,0
5,S,4898,0
3,S,4740,2
28,S,4491,4
35,S,4872,0
17,S,4787,0
8,S,4668,0
4,S,4879,0
9,S,4984,0
29,S,4906,0
12,S,4641,4
5,S,4919,0
18,S,4863,0
19,S,4980,0
13,S,4879,0
6,S,4914,0
6,S,4697,2
10,S,4822,0
36,S,4708,2
27,S,4436,2
20,S,4877,2
11,S,4827,0
30,S,4626,2
28,S,4850,0
12,S,4951,0
7,S,4746,2
31,S,4936,0
32,S,4918,0
13,S,4871,0
0,S,4182,5
8,S,4833,0
7,S,4553,4
8,S,4986,0
0,T,5000,399

episode,successRate,timeRemaining,agentSuccessCount
21,S,4580,2
29,S,4684,2
37,S,4481,2
0,S,4914,1
1,S,4904,2
30,S,4841,0
14,S,4635,0
33,S,4571,2
38,S,4769,0
22,S,4715,2
2,S,4825,0
34,S,4933,0
15,S,4859,0
14,S,4064,6
31,S,4771,2
35,S,4909,0
16,S,4911,0
9,S,4491,4
17,S,4971,0
15,S,4914,0
1,S,4390,4
32,S,4888,0
10,S,4923,0
11,S,4943,0
33,S,4925,0
18,S,4863,0
23,S,4659,2
9,S,4293,4
3,S,4683,2
12,S,4950,0
39,S,4614,2
19,S,4922,0
2,S,4825,0
36,S,4711,4
16,S,4760,2
34,S,4880,0
4,S,4868,0
17,S,4899,0
35,S,4887,0
37,S,4833,0
24,S,4728,2
40,S,4737,2
5,S,4840,0
18,S,4891,0
36,S,4898,0
13,S,4696,2
38,S,4888,0
6,S,4917,0
41,S,4914,0
10,S,4608,2
20,S,4658,4
37,S,4906,0
19,S,4882,0
3,S,4619,2
21,S,4953,0
14,S,4747,2
38,S,4813,0
7,S,4761,0
25,S,4637,2
22,S,4816,2
42,S,4743,0
8,S,4956,0
39,S,4897,0
11,S,4663,2
4,S,4714,0
9,S,4933,0
23,S,4891,0
39,S,4618,2
10,S,4950,0
5,S,4886,0
26,S,4753,2
11,S,4907,0
24,S,4837,0
40,S,4800,2
12,S,4746,0
15,S,4570,2
12,S,4853,0
43,S,4586,2
