
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
1,S,4938,0
2,S,4999,0
1,S,4879,0
2,S,4998,0
3,S,4999,0
4,S,4931,0
5,S,4999,0
1,S,4627,2
1,S,4627,0
2,S,4999,0
2,S,4999,0
3,S,4991,0
4,S,4999,0
3,S,4953,0
4,S,4999,0
1,S,4547,0
2,S,4999,0
3,S,4993,0
4,S,4999,0
5,S,4949,0
6,S,4999,0
3,S,4565,0
4,S,4998,0
5,S,4999,0
6,S,4968,0
7,S,4999,0
6,S,4638,0
7,S,4999,0
8,S,4975,0
9,S,4999,0
1,S,4435,6
2,S,4999,0
7,S,4903,0
8,S,4999,0
9,S,4992,0
10,S,4999,0
11,S,4988,0
12,S,4999,0
10,S,4941,0
11,S,4999,0
12,S,4977,0
13,S,4999,0
3,S,4842,0
4,S,4999,0
13,S,4850,4
14,S,4999,0
8,S,4794,0
9,S,4999,0
10,S,4957,0
11,S,4999,0
5,S,4497,2
6,S,4999,0
1,S,4087,2
2,S,4999,0
7,S,4968,0
14,S,4724,0
8,S,4999,0
15,S,4999,0
3,S,4983,0
4,S,4999,0
12,S,4824,0
13,S,4999,0
15,S,4751,2
16,S,4999,0
9,S,4807,0
10,S,4999,0
11,S,4976,0
12,S,4999,0
13,S,4998,0
14,S,4999,0
5,S,3794,4
6,S,4999,0
5,S,4259,2
6,S,4999,0
16,S,4208,2
17,S,4999,0
7,S,4957,0
8,S,4999,0
9,S,4938,0
7,S,4888,0
8,S,4999,0
10,S,4977,0
11,S,4999,0
12,S,4992,0
13,S,4999,0
14,S,4969,0
15,S,4999,0
1,S,3115,6
2,S,4999,0
9,S,4824,0
10,S,4999,0
11,S,4978,0
12,S,4999,0
18,S,4717,0
19,S,4999,0
16,S,4823,0
17,S,4999,0
20,S,4973,0
21,S,4999,0
22,S,4983,0
23,S,4999,0
24,S,4962,0
25,S,4999,0
5,S,3628,6
6,S,4999,0
26,S,4981,0
27,S,4999,0
7,S,4988,0
8,S,4999,0
9,S,4987,0
10,S,4999,0
11,S,4986,0
12,S,4999,0
13,S,4977,0
14,S,4996,0
15,S,4999,0
16,S,4979,0
17,S,4999,0
1,S,2790,4
2,S,4999,0
14,S,3766,6
15,S,4999,0
18,S,4955,0
19,S,4999,0
16,S,4954,0
17,S,4992,0
18,S,4999,0
28,S,4820,0
29,S,4999,0
19,S,4982,0
20,S,4999,0
17,S,3664,4
18,S,4999,0
3,S,4875,0
21,S,4958,0
22,S,4999,0
4,S,4999,0
19,S,4973,0
20,S,4999,0
23,S,4944,0
24,S,4999,0
20,S,4832,0
21,S,4999,0
5,S,4911,0
13,S,4554,2
14,S,4999,0
21,S,4924,0
22,S,4999,0
15,S,4966,0
16,S,4999,0
6,S,4944,0
7,S,4999,0
17,S,4979,0
18,S,4999,0
22,S,4919,0
23,S,4999,0
23,S,4935,0
24,S,4999,0
25,S,4993,0
26,S,4999,0
24,S,4971,0
3,S,4362,0
4,S,4999,0
25,S,4981,0
26,S,4999,0
8,S,4944,0
9,S,4999,0
5,S,4962,0
27,S,4948,0
28,S,4999,0
6,S,4999,0
19,S,4913,0
20,S,4999,0
27,S,4957,0
28,S,4999,0
29,S,4983,0
7,S,4969,0
8,S,4999,0
30,S,4971,0
31,S,4999,0
32,S,4996,0
33,S,4999,0
29,S,4940,0
30,S,4999,0
34,S,4955,0
21,S,4912,0
22,S,4999,0
35,S,4992,0
36,S,4999,0
37,S,4987,0
38,S,4999,0
23,S,4974,0
24,S,4999,0
25,S,4957,0
26,S,4999,0
9,S,4861,0
10,S,4999,0
25,S,4649,4
26,S,4999,0
27,S,4968,0
39,S,4889,0
40,S,4999,0
41,S,4968,0
42,S,4999,0
28,S,4899,0
29,S,4999,0
43,S,4943,0
44,S,4999,0
10,S,4632,2
45,S,4979,0
11,S,4999,0
46,S,4999,0
12,S,4935,0
13,S,4999,0
31,S,4660,0
30,S,4887,0
32,S,4999,0
33,S,4974,0
34,S,4999,0
18,S,4014,2
19,S,4999,0
15,S,3117,4
14,S,4947,0
15,S,4999,0
16,S,4990,0
17,S,4999,0
35,S,4970,0
36,S,4999,0
16,S,4928,0
17,S,4999,0
30,S,4177,2
31,S,4999,0
18,S,4988,0
19,S,4999,0
20,S,4994,0
21,S,4999,0
22,S,4968,0
23,S,4999,0
24,S,4982,0
25,S,4999,0
37,S,4866,0
38,S,4999,0
20,S,4824,0
21,S,4999,0
26,S,4982,0
27,S,4999,0
18,S,4839,2
19,S,4999,0
39,S,4917,0
40,S,4999,0
