
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,999
1,S,4854,1
2,S,4360,6
3,S,4869,0
4,S,4887,0
5,S,4893,0
6,S,4867,0
7,S,4792,0
8,S,4882,0
9,S,4905,0
10,S,4833,0
11,S,4933,0
12,S,4958,2
0,T,5000,999
13,S,4864,2
1,S,4870,1
2,S,4928,0
3,S,4900,0
4,S,4846,0
5,S,4964,0
14,S,4616,0
15,S,4870,0
6,S,4852,0
16,S,4873,0
7,S,4842,0
0,T,5000,999

episode,successRate,timeRemaining,agentSuccessCount
8,S,4913,0
0,T,5000,999
9,S,4689,2
17,S,4523,4
10,S,4885,0
18,S,4902,0
0,S,4537,5
19,S,4786,0
1,S,4369,1
11,S,4716,0
20,S,4932,2
1,S,4644,2
2,S,4852,0
2,S,4857,0
3,S,4833,0
21,S,4650,2
12,S,4634,0
4,S,4879,0
22,S,4739,2
3,S,4543,4
23,S,4924,0
13,S,4664,2
5,S,4697,2
4,S,4870,0
6,S,4893,0
14,S,4812,0
5,S,4867,0
15,S,4810,0
7,S,4739,0
6,S,4813,0
7,S,4793,4
0,T,5000,998

episode,successRate,timeRemaining,agentSuccessCount
16,S,4700,2
0,S,4976,0
1,S,4877,2
8,S,4813,0
17,S,4797,2
8,S,4477,2
9,S,4872,0
9,S,4875,0
2,S,4664,0
18,S,4702,0
10,S,4835,2
3,S,4912,0
11,S,4942,0
12,S,4931,0
4,S,4887,0
5,S,4892,0
19,S,4645,2
13,S,4785,0
6,S,4781,0
24,S,3287,0
14,S,4824,2
10,S,4197,4
15,S,4942,0
7,S,4865,0
8,S,4851,0
25,S,4656,2
16,S,4730,2
26,S,4923,0
20,S,4391,0
27,S,4863,0
17,S,4729,0
28,S,4907,0
9,S,4533,0
29,S,4854,0
21,S,4616,0
18,S,4801,0
19,S,4945,0
30,S,4839,0
20,S,4910,0
22,S,4760,0
21,S,4894,2
31,S,4863,0
32,S,4933,0
10,S,4550,2
22,S,4802,0
33,S,4832,0
34,S,4961,0
23,S,4879,0
35,S,4879,0
24,S,4823,0
23,S,4491,4
25,S,4986,0
11,S,3445,0
11,S,4446,4
26,S,4814,0
0,T,5000,998
1,S,4938,0
36,S,4623,0
12,S,4797,2
27,S,4785,0
13,S,4938,0
2,S,4749,0
24,S,4461,2
3,S,4926,0
37,S,4639,4
38,S,4943,0
25,S,4753,4
28,S,4592,2
14,S,4571,2
26,S,4921,0
4,S,4683,2
27,S,4910,0
39,S,4762,2
5,S,4900,0
28,S,4924,2
29,S,4764,0
40,S,4888,0
15,S,4689,2
29,S,4825,2
41,S,4848,0
6,S,4741,2
16,S,4868,0
7,S,4869,0
42,S,4798,0
8,S,4825,0
30,S,4448,4
17,S,4677,0
12,S,3365,0
43,S,4731,2
30,S,4458,0
9,S,4811,0
44,S,4841,0
31,S,4715,0
18,S,4721,2
45,S,4845,0
32,S,4866,0
13,S,4652,2
33,S,4997,0
31,S,4694,2
10,S,4696,2
11,S,4853,0
32,S,4801,0
46,S,4708,2
34,S,4703,2
47,S,4899,0
35,S,4903,0
0,T,5000,999

episode,successRate,timeRemaining,agentSuccessCount
33,S,4614,4
0,S,4810,1
36,S,4743,2
12,S,4472,2
37,S,4853,0
48,S,4564,0
13,S,4877,0
1,S,4773,0
19,S,3994,2
2,S,4930,0
34,S,4642,2
14,S,3996,6
20,S,4844,0
14,S,4775,2
3,S,4842,2
38,S,4653,4
39,S,4952,0
49,S,4595,4
40,S,4955,1
15,S,4797,2
21,S,4747,0
15,S,4714,4
35,S,4674,2
4,S,4733,2
50,S,4831,2
41,S,4848,1
22,S,4879,0
5,S,4905,0
16,S,4804,0
17,S,4930,0
6,S,4903,0
16,S,4729,4
51,S,4800,2
36,S,4696,2
17,S,4956,0
18,S,4931,0
7,S,4906,0
52,S,4898,0
0,T,5000,998

episode,successRate,timeRemaining,agentSuccessCount
8,S,4904,0
18,S,4823,0
42,S,4579,2
0,S,4898,0
19,S,4749,0
23,S,4511,4
43,S,4835,2
37,S,4584,2
20,S,4830,2
9,S,4706,2
19,S,4737,2
44,S,4930,0
53,S,4599,2
24,S,4769,0
1,S,4652,2
45,S,4854,0
38,S,4792,0
25,S,4892,2
54,S,4833,0
21,S,4735,0
46,S,4889,0
39,S,4878,0
2,S,4820,0
26,S,4870,0
27,S,4958,0
55,S,4788,2
22,S,4813,0
23,S,4915,0
40,S,4732,2
20,S,4383,2
41,S,4913,0
47,S,4598,2
56,S,4585,2
10,S,4144,4
28,S,4498,0
48,S,4791,2
3,S,4388,2
57,S,4867,0
24,S,4545,4
42,S,4640,4
4,S,4833,0
49,S,4619,0
29,S,4514,2
50,S,4895,0
21,S,4237,6
5,S,4592,2
30,S,4777,0
51,S,4754,0
25,S,4294,4
52,S,4915,0
11,S,4060,2
22,S,4582,4
31,S,4749,2
58,S,4075,10
12,S,4875,0
6,S,4529,2
53,S,4722,0
