
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,9

episode,successRate,timeRemaining,agentSuccessCount
0,S,4916,1
1,S,4719,0
2,S,4734,2
3,S,4719,2
4,S,4323,2
5,S,4952,0
6,S,4744,0
7,S,4945,0
8,S,4916,0
9,S,4898,0
10,S,4074,0
11,S,4871,0
12,S,4982,0
13,S,4887,0
0,T,5000,1

episode,successRate,timeRemaining,agentSuccessCount
14,S,4474,4
15,S,4910,0
0,S,4428,3
1,S,4994,0
16,S,4903,0
2,S,4718,2
17,S,4608,2
3,S,4657,2
4,S,4757,2
5,S,4880,0
18,S,4309,4
6,S,4888,0
7,S,4868,0
8,S,4940,0
19,S,4402,0
20,S,4756,0
9,S,4304,2
21,S,4917,0
22,S,4849,0
23,S,4828,0
10,S,4232,2
11,S,4911,0
24,S,4443,4
25,S,4968,0
26,S,4974,0
12,S,4871,0
27,S,4891,0
13,S,4875,0
14,S,4778,0
28,S,4707,0
15,S,4480,2
16,S,4806,0
17,S,4917,0
18,S,4801,0
29,S,4028,4
19,S,4585,2
20,S,4595,0
21,S,4911,0
30,S,3986,0
31,S,4697,2
32,S,4880,0
33,S,4835,0
22,S,4204,2
34,S,4721,2
23,S,4662,0
24,S,4840,0
35,S,4467,2
36,S,4937,0
25,S,4685,2
37,S,4887,0
26,S,4821,0
38,S,4866,0
27,S,4733,2
39,S,4573,2
28,S,4790,0
40,S,4715,2
29,S,4487,2
41,S,4641,0
42,S,4563,0
30,S,4412,0
31,S,4897,2
32,S,4875,0
43,S,4612,0
33,S,4847,0
34,S,4982,0
35,S,4868,2
44,S,4618,2
36,S,4694,2
45,S,4836,0
46,S,4873,0
47,S,4852,0
37,S,4527,2
48,S,4792,0
38,S,4666,2
39,S,4804,2
40,S,4794,0
41,S,4833,2
42,S,4603,2
43,S,4858,0
49,S,3468,12
44,S,4783,2
50,S,4807,2
51,S,4797,0
45,S,4627,0
52,S,4784,0
46,S,4643,2
53,S,4797,0
47,S,4826,0
48,S,4719,0
49,S,4822,0
0,T,5000,3
50,S,4701,0
1,S,4840,1
54,S,3892,8
55,S,4950,0
51,S,4678,2
2,S,4665,0
52,S,4810,2
53,S,4848,2
3,S,4733,2
54,S,4909,0
56,S,4287,4
4,S,4611,2
55,S,4621,0
57,S,4664,2
5,S,4717,2
56,S,4716,0
57,S,4982,0
58,S,4902,0
59,S,4945,0
6,S,4690,0
58,S,4566,0
59,S,4889,0
60,S,4522,2
7,S,4509,2
61,S,4915,0
60,S,4698,0
62,S,4901,0
61,S,4815,0
63,S,4733,0
8,S,4605,0
62,S,4742,0
64,S,4801,0
63,S,4801,0
9,S,4638,0
10,S,4815,0
11,S,4826,0
64,S,4511,2
12,S,4894,0
13,S,4900,0
65,S,4038,6
66,S,4894,0
0,T,5000,1

episode,successRate,timeRemaining,agentSuccessCount
67,S,4746,0
68,S,4837,0
14,S,4120,2
0,S,4376,3
15,S,4700,2
69,S,4480,2
65,S,3472,0
1,S,4636,0
0,T,5000,3
70,S,4831,2
1,S,4811,1
16,S,4448,6
2,S,4836,0
66,S,4577,4
2,S,4510,0
71,S,4512,2
3,S,4886,0
4,S,4957,0
67,S,4723,0
72,S,4790,0
68,S,4831,0
73,S,4865,0
69,S,4711,0
0,T,5000,11
3,S,4203,2
17,S,4160,0
74,S,4627,2
4,S,4889,0
18,S,4857,0
75,S,4895,0
5,S,4171,4
19,S,4787,0
20,S,4942,0
70,S,4512,2
76,S,4689,2
21,S,4831,0
6,S,4618,0
7,S,4942,0
77,S,4672,2
8,S,4858,0
5,S,4213,0
71,S,4488,0
72,S,4931,0
1,S,3955,4
78,S,4787,0
9,S,4824,0
22,S,4424,2
0,T,5000,3
2,S,4800,0
73,S,4739,0
10,S,4757,2
23,S,4858,0
24,S,4983,0
74,S,4931,0
6,S,4407,2
25,S,4778,0
26,S,4846,0
1,S,4489,5
75,S,4621,2
7,S,4718,0
27,S,4890,0
11,S,4469,0
79,S,4139,4
28,S,4912,0
8,S,4859,0
76,S,4745,0
77,S,4963,0
78,S,4944,0
80,S,4811,0
29,S,4804,2
12,S,4655,2
79,S,4883,0
30,S,4840,0
81,S,4746,0
82,S,4958,0
13,S,4739,0
14,S,4957,0
31,S,4744,2
83,S,4860,0
32,S,4908,0
84,S,4875,0
9,S,4269,2
3,S,3504,2
85,S,4889,0
86,S,4891,0
2,S,3779,2
4,S,4767,2
5,S,4958,0
87,S,4839,0
33,S,4549,2
10,S,4575,4
6,S,4921,0
11,S,4901,0
88,S,4821,0
7,S,4876,0
15,S,4208,2
16,S,4990,0
80,S,3890,4
8,S,4900,0
3,S,4567,0
12,S,4779,0
9,S,4914,0
89,S,4807,0
4,S,4852,0
10,S,4822,0
5,S,4931,0
90,S,4807,0
13,S,4707,0
6,S,4839,0
34,S,4260,0
