
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
1,S,4847,0
1,S,4747,0
2,S,4994,0
2,S,4880,0
3,S,4987,0
3,S,4965,0
1,S,4530,0
1,S,4474,4
2,S,4986,0
3,S,4891,0
1,S,4259,2
2,S,4761,2
3,S,4967,0
4,S,4491,0
5,S,4993,0
6,S,4912,0
7,S,4921,0
4,S,3873,6
8,S,4866,0
4,S,4474,2
5,S,4957,0
9,S,4855,0
2,S,3839,4
3,S,4862,0
4,S,4992,0
5,S,4944,0
6,S,4383,6
1,S,2775,10
7,S,4900,0
2,S,4879,0
8,S,4873,0
9,S,4956,0
10,S,4893,0
11,S,4962,0
1,S,2077,6
12,S,4621,0
6,S,3837,6
13,S,4990,0
2,S,4893,0
3,S,4974,0
14,S,4886,0
4,S,4932,0
10,S,3483,8
5,S,4903,0
15,S,4857,0
16,S,4959,0
6,S,4749,0
17,S,4776,0
18,S,4943,0
19,S,4933,0
20,S,4996,0
21,S,4949,0
22,S,4959,0
5,S,2651,4
6,S,4916,0
7,S,4601,2
8,S,4996,0
1,S,1114,10
1,S,1061,8
2,S,4914,0
2,S,4830,0
3,S,4992,0
4,S,4982,0
3,S,4924,0
9,S,4752,0
4,S,1077,6
4,S,4811,0
5,S,4756,0
5,S,4898,0
6,S,4928,0
7,S,4374,2
8,S,4974,0
5,S,4701,2
7,S,4896,0
6,S,4908,0
11,S,3522,12
6,S,4683,2
12,S,4958,0
7,S,4947,0
10,S,4420,2
8,S,4960,0
11,S,4964,0
7,S,4803,2
12,S,4942,0
13,S,4972,0
8,S,4962,0
14,S,4954,0
9,S,4858,0
9,S,4616,2
10,S,4961,0
10,S,4971,0
15,S,4936,0
16,S,4977,0
11,S,4898,0
9,S,4798,2
12,S,4965,0
11,S,4862,0
12,S,4971,0
13,S,4897,0
8,S,4407,2
14,S,4987,0
15,S,4993,0
9,S,4951,0
10,S,4982,0
10,S,4782,2
11,S,4966,0
12,S,4956,0
13,S,4954,0
11,S,4842,0
14,S,4955,0
12,S,4960,0
15,S,4989,0
16,S,4984,0
17,S,4997,0
18,S,4995,0
13,S,4625,4
14,S,4973,0
15,S,4991,0
19,S,4901,0
13,S,4066,4
20,S,4965,0
16,S,4897,0
7,S,2393,10
21,S,4989,0
3,S,1727,4
17,S,4336,2
14,S,4953,0
17,S,4959,0
18,S,4972,0
4,S,4946,0
18,S,4955,0
22,S,4907,2
19,S,4985,0
23,S,4968,0
15,S,4887,0
20,S,4956,0
16,S,4980,0
13,S,4633,2
14,S,4991,0
15,S,4992,0
21,S,4928,0
24,S,4903,0
5,S,4825,0
22,S,4969,0
6,S,4987,0
23,S,4985,0
7,S,4994,0
25,S,4899,0
17,S,4830,0
8,S,4933,0
18,S,4993,0
19,S,4996,0
19,S,4699,2
9,S,4963,0
8,S,4629,0
24,S,4868,0
9,S,4973,0
25,S,4987,0
20,S,4924,0
10,S,4968,0
10,S,4935,2
26,S,4834,0
21,S,4929,0
16,S,4684,0
27,S,4898,0
28,S,4988,0
17,S,4911,0
29,S,4978,0
23,S,2511,2
30,S,4957,0
11,S,4739,2
26,S,4704,0
11,S,4713,0
16,S,3835,2
22,S,4747,0
31,S,4920,0
12,S,4935,0
32,S,4986,0
33,S,4997,0
12,S,4948,0
13,S,4978,0
14,S,4990,0
27,S,4907,2
15,S,4987,0
13,S,4938,0
14,S,4995,0
34,S,4907,0
28,S,4910,0
20,S,4445,2
21,S,4998,0
15,S,4937,0
23,S,4846,0
16,S,4989,0
35,S,4927,0
22,S,4912,2
23,S,4997,0
24,S,4933,0
25,S,4973,0
29,S,4793,0
26,S,4985,0
36,S,4829,0
30,S,4978,0
17,S,4795,0
37,S,4975,0
27,S,4967,0
17,S,4576,0
18,S,4943,0
19,S,4994,0
38,S,4919,0
20,S,4955,0
18,S,4939,0
19,S,4985,0
39,S,4969,0
20,S,4988,0
18,S,4350,2
40,S,4971,0
28,S,4841,0
19,S,4969,0
21,S,4930,4
22,S,4989,0
23,S,4957,0
29,S,4939,2
31,S,4754,0
24,S,4533,2
24,S,4978,0
25,S,4993,0
41,S,4889,0
26,S,4972,0
27,S,4991,0
25,S,4953,0
42,S,4935,0
28,S,4951,0
21,S,4773,0
26,S,4937,0
22,S,4988,0
23,S,4983,0
27,S,4968,0
28,S,4990,0
43,S,4917,0
30,S,4816,0
31,S,4996,0
29,S,4974,0
32,S,4810,0
30,S,4996,0
32,S,4976,0
16,S,4240,2
33,S,4971,0
33,S,4944,0
31,S,4943,0
24,S,4893,0
