
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
0,T,5000,0
1,S,4974,0
1,S,4882,2
2,S,4952,0
2,S,4821,0
3,S,4980,0
3,S,4850,2
1,S,4670,8
2,S,4957,0
1,S,4591,0
2,S,4888,0
1,S,4016,6
1,S,3953,2
1,S,3884,4
4,S,4105,2
2,S,4862,0
3,S,4940,2
5,S,4534,0
1,S,3414,8
4,S,3725,4
4,S,4508,2
2,S,4318,6
3,S,4988,0
4,S,4963,0
5,S,4271,4
5,S,4303,4
6,S,4975,0
6,S,4784,0
7,S,4910,0
8,S,4935,0
9,S,4995,0
3,S,2818,12
2,S,3880,2
10,S,4939,0
3,S,4901,0
4,S,4948,0
4,S,4829,2
5,S,4956,0
6,S,4985,0
7,S,4994,0
5,S,3744,4
5,S,4806,0
6,S,4959,0
6,S,4928,0
7,S,4265,2
8,S,4985,0
7,S,4914,0
7,S,4881,0
8,S,4941,0
9,S,4872,0
8,S,4874,0
9,S,4959,0
10,S,4905,0
9,S,4894,0
10,S,4982,0
10,S,4963,0
11,S,4968,0
12,S,4947,0
8,S,4480,2
11,S,4932,0
13,S,4983,0
12,S,4937,0
6,S,3033,4
1,S,1429,14
7,S,4978,0
8,S,4988,0
9,S,4973,0
10,S,4976,0
11,S,4107,6
11,S,4984,0
9,S,4804,0
13,S,4842,0
10,S,4962,0
11,S,4982,0
12,S,4933,0
12,S,4958,0
12,S,4835,0
13,S,4991,0
13,S,4878,0
14,S,4977,0
13,S,4850,2
14,S,4993,0
15,S,4897,0
2,S,2147,6
14,S,4831,0
16,S,4973,0
11,S,4381,2
17,S,4969,0
15,S,4866,0
3,S,4914,0
4,S,4977,0
16,S,4955,0
18,S,4912,4
15,S,4873,0
14,S,4555,2
12,S,4877,0
16,S,4967,0
15,S,4961,0
5,S,4881,0
16,S,4956,0
13,S,4895,0
17,S,4810,0
14,S,4955,0
15,S,4983,0
19,S,4800,0
3,S,1033,4
20,S,4928,0
4,S,4944,0
21,S,4987,0
22,S,4972,0
5,S,4927,0
17,S,4712,2
6,S,4685,0
23,S,4900,0
18,S,4952,0
19,S,4997,0
20,S,4964,0
6,S,4835,0
16,S,4649,2
14,S,3796,6
15,S,4981,0
7,S,4906,0
2,S,3805,2
21,S,4753,0
22,S,4972,0
8,S,4841,0
23,S,4942,2
9,S,4956,0
17,S,4721,4
17,S,4202,2
16,S,4740,2
3,S,4811,4
24,S,4963,0
17,S,4983,0
25,S,4979,0
18,S,4980,0
26,S,4978,0
27,S,4978,0
18,S,4906,0
19,S,4956,0
19,S,4989,0
20,S,4994,0
4,S,4898,0
28,S,4952,0
24,S,4426,0
18,S,4161,10
25,S,4977,0
19,S,4978,0
29,S,4921,0
26,S,4962,0
5,S,4884,0
6,S,4977,0
20,S,4837,0
21,S,4832,0
27,S,4947,0
30,S,4932,0
20,S,4918,0
28,S,4969,0
7,S,4922,0
21,S,4930,0
22,S,4978,0
29,S,4931,0
21,S,4876,4
22,S,4989,0
23,S,4985,0
30,S,4960,0
8,S,4916,0
24,S,4987,0
31,S,4989,0
18,S,4575,0
22,S,4825,0
23,S,4967,0
32,S,4936,0
10,S,4448,2
25,S,4856,0
23,S,4799,0
24,S,4991,0
33,S,4892,0
31,S,4657,0
26,S,4937,0
11,S,4913,0
12,S,4993,0
25,S,4943,0
32,S,4954,0
13,S,4915,0
27,S,4902,0
33,S,4912,0
28,S,4971,0
34,S,4838,0
14,S,4937,0
19,S,4645,0
15,S,4972,0
35,S,4945,0
26,S,4799,0
20,S,4946,0
24,S,4629,0
16,S,4950,0
21,S,4982,0
22,S,4946,0
23,S,4989,0
25,S,4916,0
27,S,4899,2
36,S,4865,0
29,S,4758,0
24,S,4918,0
37,S,4937,0
28,S,4927,0
17,S,4838,0
29,S,4967,0
38,S,4960,0
39,S,4961,0
18,S,4916,0
40,S,4941,0
30,S,4885,0
7,S,3403,2
41,S,4982,0
30,S,4813,2
9,S,4233,2
31,S,4974,0
32,S,4991,0
19,S,4901,0
31,S,4947,2
26,S,4694,0
32,S,4983,0
8,S,4905,0
42,S,4890,0
33,S,4973,0
20,S,4914,0
34,S,4979,0
33,S,4894,0
35,S,4976,0
43,S,4942,0
10,S,4846,0
34,S,4940,0
36,S,4933,0
35,S,4960,0
25,S,4601,2
37,S,4982,0
36,S,4988,0
34,S,4335,2
21,S,4864,0
38,S,4981,0
22,S,4990,0
26,S,4956,0
23,S,4985,0
35,S,4964,0
37,S,4958,0
27,S,4781,0
38,S,4993,0
27,S,4987,0
28,S,4993,0
