
episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
0,T,5000,0,20
1,T,4956,0,20
1,T,4916,0,20
1,T,4343,2,20
2,T,4696,0,20
3,T,4855,0,20
1,T,3525,4,20
1,T,3310,6,20
2,T,3905,2,20
1,T,1641,12,20
4,T,2664,2,20
2,T,1311,6,20
5,T,4347,0,20
1,T,821,10,20
3,T,4290,0,20
4,T,4902,0,20
5,T,4984,0,20
2,T,3696,4,20
6,T,4808,0,20
1,T,5000,4,20
1,T,5000,4,20
2,T,4093,0,20
3,T,4914,0,20
3,T,4526,0,20
4,T,4862,0,20
4,T,4836,0,20
6,T,3750,2,20
5,T,4827,0,20
6,T,4995,0,20
7,T,4314,0,20
7,T,4954,0,20
3,T,2234,4,20
2,T,730,4,20
5,T,4526,0,20
8,T,4755,0,20
6,T,4973,0,20
3,T,4961,0,20
9,T,4966,0,20
10,T,4986,0,20
4,T,4971,0,20
5,T,4894,0,20
6,T,4984,0,20
7,T,4816,0,20
7,T,4936,0,20
3,T,3850,0,20
4,T,4289,0,20
8,T,4586,0,20
4,T,4812,0,20
5,T,4857,0,20
6,T,4903,0,20
7,T,4872,0,20
8,T,4990,0,20
9,T,4945,0,20
10,T,4986,0,20
2,T,3108,2,20
11,T,3867,0,20
11,T,4911,0,20
7,T,3266,2,20
12,T,4803,0,20
9,T,4206,0,20
12,T,4765,0,20
8,T,3209,0,20
8,T,4809,0,20
3,T,4612,0,20
13,T,4874,0,20
9,T,4928,0,20
4,T,4926,0,20
13,T,4798,0,20
8,T,3634,2,20
2,T,2629,0,20
3,T,4955,0,20
14,T,4927,0,20
14,T,4873,0,20
15,T,4991,0,20
9,T,4883,0,20
10,T,4851,0,20
5,T,4817,0,20
9,T,4615,0,20
16,T,4779,0,20
10,T,4795,0,20
17,T,4968,0,20
4,T,4722,0,20
11,T,4989,0,20
6,T,4823,0,20
18,T,4971,0,20
10,T,4431,0,20
5,T,3521,2,20
19,T,4949,0,20
7,T,4915,0,20
11,T,4673,0,20
20,T,4851,0,20
10,T,4719,0,20
11,T,4989,0,20
8,T,4856,0,20
11,T,4782,0,20
12,T,4847,0,20
9,T,4968,0,20
21,T,4946,0,20
10,T,4983,0,20
13,T,4960,0,20
22,T,4909,0,20
23,T,4987,0,20
11,T,4898,0,20
12,T,4996,0,20
14,T,4910,0,20
15,T,4938,0,20
24,T,4905,0,20
16,T,4985,0,20
13,T,4912,0,20
17,T,4959,0,20
12,T,4474,0,20
12,T,4675,0,20
6,T,4464,0,20
13,T,4978,0,20
25,T,4875,0,20
13,T,4912,0,20
14,T,4856,0,20
14,T,4977,0,20
15,T,4994,0,20
15,T,4982,0,20
14,T,4940,0,20
18,T,4850,0,20
26,T,4912,0,20
16,T,4939,0,20
16,T,4904,0,20
7,T,4825,0,20
17,T,4976,0,20
15,T,4874,0,20
12,T,4473,0,20
18,T,4970,0,20
19,T,4865,0,20
16,T,4971,0,20
17,T,4997,0,20
19,T,4968,0,20
18,T,4961,0,20
8,T,4902,0,20
20,T,4945,0,20
21,T,4995,0,20
20,T,4952,0,20
9,T,4943,0,20
21,T,4970,0,20
15,T,3807,0,20
22,T,4979,0,20
10,T,4973,0,20
19,T,4892,0,20
17,T,4746,0,20
11,T,4967,0,20
27,T,4706,0,20
23,T,4944,0,20
16,T,4939,0,20
12,T,4975,0,20
20,T,4958,0,20
21,T,4995,0,20
22,T,4848,0,20
24,T,4964,0,20
28,T,4946,0,20
13,T,4942,0,20
13,T,4731,0,20
23,T,4933,0,20
14,T,4944,0,20
15,T,4979,0,20
24,T,4950,0,20
16,T,4974,0,20
25,T,4977,0,20
18,T,4771,0,20
17,T,4965,0,20
26,T,4912,0,20
14,T,4799,0,20
18,T,4915,0,20
29,T,4743,0,20
17,T,4677,0,20
18,T,4986,0,20
27,T,4908,0,20
30,T,4945,0,20
31,T,4983,0,20
5,T,3617,2,20
19,T,4945,0,20
15,T,4869,0,20
22,T,4602,0,20
32,T,4939,0,20
28,T,4901,0,20
29,T,4993,0,20
20,T,4928,0,20
21,T,4998,0,20
33,T,4972,0,20
25,T,4565,0,20
16,T,4925,0,20
