
episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
1,S,4890
1,S,4474
1,S,4280
1,S,3049
2,S,3456
2,S,3103
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
1,T,5000
2,S,4974
2,S,4949
3,S,4967
4,S,4563
2,S,4376
2,S,3304
4,S,4738
5,S,4978
6,S,4218
5,S,1253
3,S,2486
2,S,475
2,S,319
3,S,65
2,T,5000
2,T,5000
3,S,4949
3,S,4711
4,S,4671
4,S,4717
4,S,4796
3,S,856
6,S,3351
4,S,3310
5,S,3691
5,S,4556
4,S,2653
5,S,2542
4,S,1568
5,S,2686
6,S,3911
6,S,4858
5,S,4543
7,S,2050
8,S,4507
5,S,1789
7,S,4639
7,S,981
8,S,4757
7,S,568
6,S,2911
9,S,4769
8,S,4720
9,S,4886
8,S,3963
4,S,1225
5,S,4838
10,S,4457
10,S,3951
4,S,818
11,S,4622
9,S,4080
12,S,4623
10,S,4751
7,S,3606
6,S,3527
8,S,4336
11,S,3126
7,S,1712
9,S,3847
5,S,2112
10,S,4578
9,S,1253
7,S,2755
6,S,6
10,S,4592
6,S,3345
13,S,2079
8,S,4615
9,S,4972
7,S,4900
10,S,1581
6,S,4082
11,S,1979
10,S,4871
11,S,4649
8,S,4759
12,S,4912
8,S,4865
9,S,4921
10,S,4938
11,S,4970
12,S,4518
12,S,2301
11,S,3776
11,S,4083
12,S,4596
9,S,4202
12,S,4906
12,S,4342
13,S,4819
14,S,3673
14,S,4891
7,S,3455
13,S,4199
8,S,4923
13,S,4101
14,S,4983
15,S,4728
13,S,4468
15,S,4607
14,S,4730
11,S,3448
15,S,4965
10,S,4348
14,S,4917
15,S,4931
13,S,4326
16,S,4796
9,S,4471
13,S,3278
7,S,3064
17,S,4821
18,S,4957
8,S,1293
8,S,4883
9,S,4960
12,S,4482
11,S,4441
15,S,4216
16,S,4235
10,S,4544
16,S,4836
9,S,4606
14,S,4196
12,S,4626
15,S,4947
16,S,4994
16,S,3982
13,S,4307
17,S,4894
13,S,4730
10,S,4607
14,S,4974
17,S,4489
11,S,4373
14,S,3924
14,S,4817
15,S,4890
11,S,4714
18,S,4655
15,S,4727
12,S,4665
10,S,3735
16,S,4709
11,S,4933
19,S,4710
13,S,4830
16,S,2977
20,S,4840
16,S,4624
19,S,3359
17,S,4677
12,S,4664
21,S,4833
18,S,4035
17,S,3692
17,S,4690
15,S,3822
12,S,4071
17,S,4499
19,S,4740
18,S,4902
14,S,4261
13,S,4500
19,S,4894
20,S,4373
20,S,4905
18,S,4332
18,S,4478
17,S,2807
16,S,4490
21,S,4817
19,S,4855
18,S,4882
14,S,4677
20,S,4985
21,S,4667
13,S,4388
14,S,4930
15,S,4466
21,S,4792
16,S,4924
19,S,4582
22,S,4715
15,S,4736
20,S,4954
19,S,4674
22,S,4703
21,S,4905
20,S,4952
17,S,4556
23,S,4939
22,S,4931
21,S,4927
18,S,3913
17,S,4686
24,S,4827
23,S,4660
22,S,4804
24,S,4952
22,S,3546
23,S,4984
18,S,4854
24,S,4947
18,S,4656
22,S,4483
25,S,4908
19,S,4694
23,S,4666
20,S,3755
19,S,4929
23,S,4820
20,S,4960
21,S,4937
26,S,4879
19,S,4815
15,S,4242
22,S,4924
24,S,4803
25,S,4723
16,S,4885
20,S,4841
25,S,4547
21,S,4978
26,S,4927
23,S,4799
24,S,4998
22,S,4908
21,S,4615
17,S,4730
25,S,4810
18,S,4932
26,S,4905
23,S,4719
26,S,4548
19,S,4910
16,S,3711
22,S,4629
27,S,4840
17,S,4914
27,S,4771
23,S,4090
25,S,4258
28,S,4880
26,S,4970
28,S,4895
27,S,4356
24,S,4670
27,S,4924
29,S,4854
29,S,4823
25,S,4664
18,S,4544
28,S,4620
20,S,3624
28,S,4658
26,S,4884
29,S,4912
27,S,4938
23,S,4312
21,S,4788
24,S,4878
30,S,4808
27,S,3430
28,S,4818
19,S,4607
25,S,4918
29,S,4639
31,S,4891
28,S,4895
22,S,4762
29,S,4897
29,S,4800
30,S,4981
20,S,4774
32,S,4799
31,S,4910
26,S,4709
23,S,4776
27,S,4934
28,S,4987
21,S,4822
30,S,4738
30,S,3965
29,S,4922
33,S,4744
24,S,4832
30,S,3921
25,S,4966
31,S,4871
32,S,4976
32,S,4681
31,S,4795
30,S,4818
20,S,3267
22,S,4703
31,S,4791
33,S,4867
23,S,4919
24,S,3375
32,S,4917
26,S,4725
30,S,4199
24,S,4847
31,S,4651
34,S,4486
25,S,4863
