
episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
1,S,4997
1,S,4996
1,S,4994
1,S,4993
1,S,4982
2,S,4982
2,S,4970
1,S,4909
2,S,4872
3,S,4988
4,S,4998
1,S,4829
3,S,4769
4,S,4994
2,S,4684
2,S,4766
3,S,4982
1,S,4630
2,S,4996
3,S,4983
3,S,4624
4,S,4961
4,S,4993
5,S,4990
2,S,4714
3,S,4997
1,S,4471
2,S,4925
3,S,4985
3,S,4673
4,S,4980
6,S,4737
4,S,4900
7,S,4960
5,S,4921
6,S,4957
4,S,4477
5,S,4989
5,S,4779
7,S,4894
6,S,4820
8,S,4872
7,S,4944
2,S,3792
3,S,4998
6,S,4613
4,S,4953
7,S,4973
8,S,4961
8,S,4783
9,S,4951
10,S,4947
5,S,4709
6,S,4962
4,S,3855
5,S,4998
6,S,4994
7,S,4986
7,S,4886
8,S,4917
1,S,2907
2,S,4981
3,S,4982
5,S,2976
6,S,4995
7,S,4993
9,S,3877
10,S,4966
11,S,4994
12,S,4987
8,S,4894
9,S,4997
9,S,4214
5,S,2734
10,S,4947
11,S,4982
6,S,4924
7,S,4993
8,S,4956
12,S,4809
13,S,4981
13,S,4341
14,S,4724
8,S,3360
9,S,4978
8,S,2301
9,S,4970
10,S,3793
10,S,4881
14,S,4135
9,S,3956
10,S,4986
11,S,4992
1,S,1274
5,S,1634
1,S,1180
11,S,4637
6,S,4914
9,S,2243
4,S,3017
5,S,4991
12,S,4545
13,S,4934
14,S,4991
15,S,4955
10,S,4073
11,S,4983
12,S,4990
11,S,4244
13,S,4957
10,S,4709
14,S,4989
11,S,4992
16,S,4912
12,S,4457
13,S,4994
12,S,4970
14,S,4994
15,S,4993
15,S,4952
16,S,4867
16,S,4845
17,S,4973
18,S,4943
19,S,4993
20,S,4973
21,S,4994
7,S,4189
8,S,4953
9,S,4996
17,S,4662
18,S,4982
10,S,4803
11,S,1506
19,S,4959
12,S,4958
11,S,4936
15,S,3150
6,S,4047
7,S,4997
16,S,4954
17,S,4991
20,S,4872
17,S,4270
18,S,4961
12,S,4836
13,S,4987
15,S,3452
16,S,4995
17,S,4927
22,S,4407
14,S,4896
18,S,4959
2,S,3505
23,S,4955
24,S,4991
25,S,4992
18,S,4773
19,S,4993
15,S,4922
19,S,4902
12,S,3938
20,S,4933
21,S,4981
3,S,4880
26,S,4880
4,S,4978
5,S,4998
8,S,4612
16,S,4893
9,S,4974
17,S,4972
22,S,4934
18,S,4996
19,S,4973
13,S,4865
14,S,4988
20,S,4955
27,S,4810
10,S,4817
21,S,4886
13,S,4293
20,S,4715
14,S,4985
15,S,4988
21,S,4969
16,S,4990
17,S,4997
11,S,4943
22,S,4955
18,S,4997
15,S,4799
19,S,4973
22,S,4951
23,S,4952
23,S,4988
20,S,4976
24,S,4995
25,S,4993
24,S,4971
26,S,4985
12,S,4918
13,S,4980
16,S,4911
14,S,4973
25,S,4946
15,S,4992
17,S,4975
16,S,4996
17,S,4981
23,S,4605
26,S,4959
21,S,4867
24,S,4948
27,S,4952
28,S,4997
18,S,4932
29,S,4989
18,S,4887
19,S,4988
19,S,4120
19,S,4948
20,S,4997
21,S,4057
2,S,2664
21,S,4947
20,S,4897
6,S,4345
3,S,4928
20,S,4861
25,S,4806
7,S,4973
22,S,4922
21,S,4987
26,S,4988
8,S,4988
22,S,4992
23,S,4990
30,S,4799
21,S,4941
27,S,4954
23,S,4946
22,S,4969
4,S,4928
24,S,4985
31,S,4946
24,S,4944
28,S,4419
25,S,4981
25,S,4979
28,S,4953
9,S,4907
26,S,4991
27,S,4996
10,S,4989
23,S,4944
24,S,4985
29,S,4950
30,S,4993
11,S,4974
28,S,4972
25,S,4982
12,S,4979
29,S,4979
31,S,4974
30,S,4992
22,S,4728
32,S,4971
23,S,4965
26,S,4841
26,S,4895
5,S,4803
13,S,4898
6,S,4993
24,S,4942
29,S,4818
31,S,4873
27,S,4948
32,S,4777
14,S,4959
15,S,4998
33,S,4994
16,S,4971
28,S,4964
29,S,4993
13,S,2920
30,S,4932
32,S,4942
33,S,4991
34,S,4910
17,S,4934
35,S,4993
14,S,4917
7,S,4825
36,S,4957
8,S,4992
15,S,4980
34,S,4900
9,S,4967
10,S,4944
37,S,4909
38,S,4981
16,S,4889
39,S,4996
11,S,4970
30,S,4772
17,S,4981
31,S,4990
32,S,4992
40,S,4968
12,S,4966
31,S,4728
32,S,4991
41,S,4949
18,S,4926
35,S,4804
19,S,4981
33,S,4517
42,S,4956
20,S,4981
43,S,4995
