
episode,successRate,timeRemaining
0,T,5000
1,S,4914
2,S,4818
4,S,4948
5,S,4995
6,S,4998
7,S,3939
8,S,4892
9,S,4982
10,S,4989
11,S,4995
12,S,4996
13,S,4594
14,S,4214
15,S,4997
16,S,4994
17,S,4983

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
0,T,5000
1,S,4991
1,S,4990
1,S,4986
1,S,4949
1,S,4940
1,S,4929
1,S,4920
2,S,4998
3,S,4981
1,S,4895
4,S,4990
1,S,4888
2,S,4971
5,S,4958
3,S,4968
2,S,4878
6,S,4958
7,S,4962
4,S,4926
1,S,4632
5,S,4867
3,S,4442
4,S,4965
6,S,4523
7,S,4969
5,S,4882
8,S,4983
2,S,3541
3,S,4975
6,S,4303
7,S,4954
9,S,3789
10,S,4983
8,S,4454
9,S,4973
2,S,2477
4,S,3585
5,S,4994
6,S,4981
7,S,4920
8,S,4993
11,S,3542
12,S,4996
13,S,4873
14,S,4602
15,S,4997
16,S,4750
17,S,4868
18,S,4972
2,S,436
3,S,4996
4,S,4938
5,S,4995
6,S,4940
7,S,4997
9,S,3246
8,S,4938
19,S,4691
9,S,4878
10,S,4826
11,S,4988
12,S,4970
1,T,5000
1,T,5000
2,S,4998
2,S,4993
3,S,4993
4,S,4994
3,S,4995
3,S,4996
4,S,4849
3,S,4715
5,S,4934
9,S,4886
3,S,4958
4,S,4937
5,S,4995
6,S,4720
10,S,4266
11,S,4982
6,S,4743
7,S,4846
12,S,4831
13,S,4998
14,S,4994
15,S,4975
20,S,3899
7,S,4772
8,S,4743
21,S,4911
9,S,4930
4,S,3918
10,S,4989
5,S,4990
5,S,3899
6,S,4997
13,S,3768
6,S,4804
22,S,4712
7,S,4940
11,S,4673
8,S,4467
14,S,4712
16,S,4330
8,S,4782
15,S,4915
3,S,962
16,S,4980
9,S,4966
17,S,4991
18,S,4976
10,S,4963
17,S,4846
18,S,4953
19,S,4924
20,S,4990
19,S,4980
4,S,4864
21,S,4986
23,S,4545
24,S,4918
25,S,4971
26,S,4986
11,S,4696
12,S,4991
13,S,4993
20,S,4754
21,S,4988
27,S,4886
22,S,4985
28,S,4991
14,S,4929
23,S,4969
7,S,4047
8,S,4974
9,S,4986
24,S,4885
10,S,4945
25,S,4961
5,S,4545
26,S,4991
11,S,4994
12,S,4997
27,S,4974
13,S,4981
29,S,4740
9,S,4215
10,S,4996
28,S,4942
30,S,4977
31,S,4997
32,S,4982
33,S,4993
34,S,4990
14,S,4829
15,S,4570
16,S,4946
29,S,4734
17,S,4965
18,S,4983
19,S,4986
30,S,4895
31,S,4977
15,S,4710
16,S,4992
17,S,4984
18,S,4995
10,S,2580
11,S,4982
12,S,4991
32,S,4890
13,S,4995
14,S,4966
15,S,4983
6,S,4280
33,S,4862
7,S,4982
8,S,4993
34,S,4986
9,S,4968
11,S,4183
12,S,4953
35,S,4900
13,S,4971
16,S,4772
36,S,4953
17,S,4975
14,S,4955
18,S,4991
37,S,4977
38,S,4998
39,S,4968
40,S,4977
10,S,4777
41,S,4963
15,S,4877
19,S,4474
42,S,4925
35,S,4035
36,S,4973
37,S,4982
38,S,4989
16,S,4845
43,S,4902
17,S,4991
44,S,4968
45,S,4997
46,S,4996
39,S,4906
40,S,4996
41,S,4967
42,S,4991
43,S,4968
44,S,4995
45,S,4996
46,S,4995
11,S,3691
12,S,4975
18,S,4773
19,S,4998
22,S,3125
47,S,4796
13,S,4980
14,S,4978
15,S,4994
20,S,4949
47,S,4869
16,S,4988
21,S,4989
23,S,4939
22,S,4964
48,S,4953
23,S,4987
49,S,4986
24,S,4932
50,S,4974
25,S,4986
48,S,4851
26,S,4980
49,S,4983
50,S,4993
51,S,4950
52,S,4991
17,S,4846
53,S,4984
20,S,4401
18,S,4975
21,S,4987
24,S,4865
54,S,4965
25,S,4994
26,S,4993
55,S,4981
22,S,4956
23,S,4981
56,S,4936
57,S,4997
27,S,4906
19,S,4873
20,S,4996
58,S,4960
59,S,4993
21,S,4982
28,S,4962
60,S,4983
11,S,4134
20,S,3520
27,S,4691
61,S,4927
21,S,4977
12,S,4967
13,S,4997
62,S,4986
12,S,2317
63,S,4993
64,S,4994
14,S,4971
24,S,4784
25,S,4992
22,S,4929
22,S,4833
23,S,4975
13,S,4915
24,S,4998
23,S,4965
14,S,4989
3,S,849
65,S,4896
4,S,4991
15,S,4971
16,S,4995
17,S,4994
66,S,4972
24,S,4945
18,S,4990
5,S,4966
67,S,4981
68,S,4972
69,S,4996
6,S,4959
26,S,4838
25,S,4923
26,S,4997
27,S,4986
7,S,4949
4,S,929
15,S,4759
8,S,4980
5,S,4985
29,S,4631
6,S,4994
16,S,4987
25,S,4808
9,S,4972
7,S,4975
17,S,4960
28,S,4919
19,S,4824
30,S,4937
31,S,4978
8,S,4935
18,S,4946
29,S,4949
20,S,4953
9,S,4986
70,S,4806
21,S,4977
30,S,4968
19,S,4965
22,S,4980
71,S,4969
20,S,4982
10,S,4948
11,S,4998
23,S,4980
28,S,4546
72,S,4965
27,S,4740
21,S,4953
73,S,4962
28,S,4951
32,S,4842
12,S,4900
33,S,4968
22,S,4924
13,S,4978
14,S,4992
15,S,4989
34,S,4964
23,S,4953
74,S,4896
16,S,4975
35,S,4981
17,S,4993
24,S,4832
31,S,4799
29,S,4906
24,S,4985
30,S,4997
25,S,4992
31,S,4984
25,S,4977
26,S,4973
32,S,4973
33,S,4998
75,S,4923
34,S,4973
36,S,4918
51,S,4007
27,S,4960
10,S,4609
28,S,4987
37,S,4978
76,S,4961
38,S,4990
26,S,4562
11,S,4964
52,S,4961
35,S,4958
39,S,4986
77,S,4983
18,S,4874
36,S,4992
27,S,4982
78,S,4990
53,S,4971
37,S,4979
40,S,4970
79,S,4981
41,S,4996
38,S,4987
39,S,4996
28,S,4963
40,S,4993
42,S,4979
41,S,4992
12,S,4929
42,S,4992
13,S,4985
43,S,4970
14,S,4962
29,S,4924
44,S,4961
29,S,4841
30,S,4984
31,S,4985
43,S,4907
26,S,4740
15,S,4958
30,S,4966
44,S,4991
16,S,4984
32,S,4700
17,S,4995
54,S,4829
18,S,4981
80,S,4827
32,S,4948
55,S,4988
19,S,4986
81,S,4988
33,S,4987
34,S,4998
20,S,4992
33,S,4948
27,S,4925
34,S,4994
35,S,4978
56,S,4950
35,S,4977
28,S,4959
21,S,4944
29,S,4991
36,S,4970
37,S,4991
30,S,4979
31,S,4998
22,S,4962
23,S,4990
82,S,4883
38,S,4961
39,S,4991
24,S,4975
32,S,4948
25,S,4982
19,S,4632
33,S,4988
34,S,4998
83,S,4958
26,S,4990
84,S,4994
36,S,4860
29,S,4325
37,S,4982
85,S,4977
30,S,4961
38,S,4976
86,S,4976
31,S,4989
32,S,4998
87,S,4987
39,S,4975
45,S,4694
27,S,4904
40,S,4969
45,S,4633
46,S,4977
28,S,4951
57,S,4733
29,S,4994
31,S,4628
88,S,4904
47,S,4977
58,S,4982
32,S,4988
59,S,4991
46,S,4922
30,S,4977
41,S,4921
33,S,4982
60,S,4979
61,S,4994
47,S,4971
33,S,4854
48,S,4991
48,S,4940
62,S,4977
34,S,4980
40,S,4739
49,S,4982
63,S,4991
31,S,4931
49,S,4974
50,S,4983
50,S,4998
35,S,4746
42,S,4929
43,S,4997
34,S,4926
64,S,4971
35,S,4995
41,S,4963
20,S,4723
36,S,4979
37,S,4996
44,S,4976
51,S,4964
21,S,4982
22,S,4998
45,S,4983
65,S,4962
35,S,4927
51,S,4948
46,S,4998
52,S,4980
52,S,4989
53,S,4982
36,S,4945
47,S,4978
36,S,4977
23,S,4966
48,S,4992
37,S,4991
37,S,4986
42,S,4929
53,S,4972
24,S,4982
89,S,4816
90,S,4998
54,S,4974
49,S,4981
54,S,4987
55,S,4991
38,S,4914
43,S,4975
66,S,4932
32,S,4877
50,S,4976
67,S,4990
55,S,4961
39,S,4974
91,S,4958
56,S,4993
40,S,4994
57,S,4998
25,S,4948
33,S,4970
44,S,4964
34,S,4997
58,S,4992
59,S,4993
51,S,4962
60,S,4995
52,S,4995
41,S,4976
38,S,4918
68,S,4958
69,S,4998
70,S,4992
45,S,4965
42,S,4984
39,S,4984
46,S,4980
56,S,4906
47,S,4989
40,S,4967
92,S,4916
71,S,4951
35,S,4921
41,S,4983
42,S,4998
93,S,4981
57,S,4958
72,S,4979
36,S,4977
94,S,4985
38,S,4821
37,S,4989
43,S,4969
48,S,4947
58,S,4980
38,S,4995
44,S,4994
45,S,4997
46,S,4998
61,S,4884
53,S,4879
39,S,4978
40,S,4991
73,S,4949
95,S,4954
49,S,4966
54,S,4983
39,S,4942
62,S,4961
41,S,4977
42,S,4995
55,S,4970
40,S,4979
59,S,4926
63,S,4977
43,S,4979
64,S,4994
47,S,4928
50,S,4950
41,S,4986
44,S,4989
51,S,4991
43,S,4822
60,S,4980
42,S,4984
56,S,4964
45,S,4988
65,S,4976
96,S,4927
97,S,4995
44,S,4976
74,S,4914
57,S,4982
66,S,4984
46,S,4981
58,S,4996
26,S,4751
52,S,4965
43,S,4968
67,S,4987
45,S,4983
48,S,4946
68,S,4995
47,S,4983
69,S,4991
59,S,4975
46,S,4983
44,S,4980
75,S,4964
53,S,4971
48,S,4978
47,S,4988
54,S,4992
27,S,4956
70,S,4973
71,S,4996
49,S,4977
61,S,4901
50,S,4990
45,S,4957
60,S,4953
51,S,4997
62,S,4994
48,S,4965
55,S,4963
56,S,4996
49,S,4928
28,S,4960
98,S,4901
76,S,4942
46,S,4982
77,S,4995
63,S,4981
57,S,4985
61,S,4976
47,S,4991
52,S,4971
64,S,4991
50,S,4980
65,S,4992
62,S,4986
53,S,4992
72,S,4939
49,S,4958
66,S,4993
54,S,4991
48,S,4977
63,S,4985
49,S,4980
55,S,4975
51,S,4957
58,S,4949
73,S,4964
56,S,4991
57,S,4997
64,S,4966
78,S,4934
52,S,4987
65,S,4984
50,S,4935
50,S,4956
58,S,4969
29,S,4890
59,S,4987
74,S,4949
19,S,2047
51,S,4976
30,S,4984
75,S,4984
60,S,4977
61,S,4996
53,S,4931
76,S,4982
54,S,4990
20,S,4967
51,S,4940
67,S,4869
55,S,4990
52,S,4954
56,S,4991
99,S,4818
77,S,4962
52,S,4964
53,S,4976
100,S,4988
79,S,4878
31,S,4930
68,S,4964
54,S,4993
80,S,4994
78,S,4985
59,S,4857
53,S,4981
60,S,4990
57,S,4956
79,S,4984
55,S,4979
54,S,4988
61,S,4991
55,S,4998
32,S,4967
56,S,4996
21,S,4925
56,S,4992
58,S,4985
69,S,4966
62,S,4989
80,S,4984
81,S,4993
62,S,4899
33,S,4986
57,S,4985
63,S,4994
63,S,4981
57,S,4975
34,S,4980
59,S,4967
81,S,4936
58,S,4988
64,S,4983
82,S,4970
59,S,4993
22,S,4950
60,S,4985
58,S,4962
60,S,4986
59,S,4990
61,S,4993
62,S,4994
35,S,4963
60,S,4991
82,S,4963
36,S,4996
61,S,4976
65,S,4966
62,S,4997
63,S,4986
37,S,4989
101,S,4866
64,S,4984
83,S,4940
38,S,4980
84,S,4997
63,S,4971
70,S,4897
64,S,4990
71,S,4990
23,S,4929
72,S,4994
64,S,4897
65,S,4976
66,S,4951
66,S,4991
83,S,4939
65,S,4982
24,S,4984
65,S,4984
66,S,4996
84,S,4991
66,S,4988
61,S,4922
39,S,4952
25,S,4983
67,S,4974
67,S,4984
67,S,4979
85,S,4942
68,S,4990
73,S,4952
68,S,4986
74,S,4983
40,S,4964
69,S,4978
69,S,4983
70,S,4997
102,S,4899
70,S,4985
85,S,4936
41,S,4980
71,S,4997
26,S,4943
103,S,4988
67,S,4911
86,S,4988
27,S,4991
75,S,4966
66,S,4638
68,S,4991
87,S,4991
71,S,4965
67,S,4990
72,S,4975
104,S,4974
73,S,4996
76,S,4982
86,S,4919
88,S,4969
77,S,4978
105,S,4977
68,S,4969
87,S,4981
62,S,4883
74,S,4968
72,S,4960
28,S,4947
78,S,4987
63,S,4993
69,S,4987
88,S,4987
89,S,4998
42,S,4928
70,S,4995
75,S,4988
69,S,4937
64,S,4988
79,S,4985
73,S,4982
71,S,4990
89,S,4967
80,S,4990
72,S,4989
70,S,4978
106,S,4952
90,S,4977
29,S,4956
73,S,4980
74,S,4966
71,S,4984
30,S,4992
90,S,4953
91,S,4997
43,S,4950
75,S,4983
31,S,4983
76,S,4938
72,S,4978
92,S,4978
73,S,4990
44,S,4975
77,S,4987
74,S,4991
32,S,4978
76,S,4976
75,S,4996
107,S,4934
93,S,4976
108,S,4994
45,S,4974
91,S,4933
77,S,4974
74,S,4931
78,S,4966
94,S,4981
75,S,4992
78,S,4990
95,S,4993
65,S,4884
96,S,4996
92,S,4976
76,S,4957
46,S,4968
33,S,4950
93,S,4991
97,S,4986
76,S,4978
98,S,4991
81,S,4869
79,S,4957
68,S,4728
34,S,4976
82,S,4989
79,S,4957
80,S,4991
35,S,4995
94,S,4966
77,S,4960
36,S,4982
83,S,4979
77,S,4949
99,S,4963
81,S,4978
69,S,4964
78,S,4985
37,S,4983
84,S,4982
100,S,4984
70,S,4986
95,S,4963
38,S,4985
82,S,4969
78,S,4965
39,S,4995
71,S,4984
80,S,4933
81,S,4998
101,S,4969
72,S,4989
109,S,4867
79,S,4977
102,S,4989
82,S,4987
110,S,4988
40,S,4969
83,S,4964
73,S,4973
96,S,4947
80,S,4980
83,S,4983
66,S,4858
84,S,4986
81,S,4987
85,S,4986
84,S,4978
79,S,4910
103,S,4956
74,S,4968
75,S,4997
104,S,4992
80,S,4991
81,S,4995
41,S,4948
85,S,4981
82,S,4969
76,S,4985
111,S,4937
97,S,4948
82,S,4988
86,S,4968
105,S,4982
83,S,4989
86,S,4988
85,S,4880
86,S,4996
83,S,4987
87,S,4990
67,S,4939
42,S,4975
87,S,4994
68,S,4993
84,S,4981
88,S,4986
106,S,4971
98,S,4969
43,S,4981
85,S,4985
89,S,4988
84,S,4973
69,S,4979
85,S,4994
87,S,4952
70,S,4992
88,S,4998
107,S,4978
71,S,4991
108,S,4993
88,S,4958
77,S,4935
86,S,4974
109,S,4992
86,S,4978
44,S,4964
89,S,4990
89,S,4979
99,S,4954
78,S,4978
79,S,4996
100,S,4988
90,S,4979
90,S,4978
110,S,4973
87,S,4974
47,S,4726
88,S,4993
91,S,4989
101,S,4985
45,S,4962
87,S,4954
91,S,4983
89,S,4989
72,S,4945
102,S,4985
88,S,4989
90,S,4983
73,S,4982
46,S,4976
89,S,4988
92,S,4977
93,S,4996
112,S,4858
48,S,4952
90,S,4987
103,S,4971
111,S,4945
94,S,4988
47,S,4979
74,S,4979
91,S,4992
48,S,4992
92,S,4941
75,S,4991
95,S,4984
76,S,4994
91,S,4960
113,S,4967
49,S,4987
92,S,4994
104,S,4971
105,S,4998
77,S,4988
92,S,4974
106,S,4998
93,S,4978
93,S,4991
93,S,4991
94,S,4988
94,S,4982
114,S,4968
80,S,4880
112,S,4941
95,S,4983
113,S,4994
90,S,4822
95,S,4984
49,S,4926
81,S,4986
115,S,4982
96,S,4988
114,S,4988
50,S,4987
107,S,4948
50,S,4940
91,S,4984
92,S,4995
51,S,4994
96,S,4977
51,S,4978
96,S,4910
116,S,4963
97,S,4978
52,S,4989
82,S,4958
93,S,4967
94,S,4914
98,S,4986
53,S,4986
99,S,4998
94,S,4982
100,S,4985
78,S,4885
108,S,4934
117,S,4961
52,S,4940
95,S,4973
79,S,4990
83,S,4960
101,S,4976
109,S,4979
84,S,4982
53,S,4977
110,S,4993
85,S,4992
96,S,4969
54,S,4943
80,S,4965
118,S,4958
54,S,4979
81,S,4994
86,S,4984
97,S,4877
98,S,4988
102,S,4958
111,S,4965
82,S,4982
119,S,4973
115,S,4855
55,S,4971
97,S,4955
83,S,4985
95,S,4909
99,S,4974
84,S,4989
56,S,4970
116,S,4967
103,S,4956
85,S,4985
96,S,4974
98,S,4971
57,S,4990
112,S,4942
113,S,4989
55,S,4904
99,S,4969
87,S,4908
104,S,4963
100,S,4990
56,S,4984
97,S,4958
120,S,4917
98,S,4994
88,S,4973
99,S,4989
57,S,4975
101,S,4970
58,S,4935
100,S,4988
114,S,4951
121,S,4968
59,S,4992
101,S,4988
122,S,4992
105,S,4949
60,S,4992
89,S,4968
86,S,4905
97,S,4754
100,S,4884
61,S,4990
117,S,4898
115,S,4972
106,S,4982
58,S,4961
62,S,4990
98,S,4987
102,S,4974
59,S,4990
116,S,4985
90,S,4974
102,S,4953
87,S,4974
103,S,4989
118,S,4978
88,S,4996
99,S,4985
63,S,4976
100,S,4989
123,S,4948
89,S,4986
101,S,4954
107,S,4960
91,S,4971
104,S,4966
64,S,4976
124,S,4981
101,S,4976
65,S,4995
92,S,4984
103,S,4955
102,S,4994
102,S,4976
108,S,4973
90,S,4962
125,S,4980
103,S,4990
104,S,4987
103,S,4987
117,S,4938
119,S,4941
105,S,4971
91,S,4991
66,S,4967
106,S,4990
105,S,4983
60,S,4921
104,S,4980
92,S,4987
109,S,4970
93,S,4994
61,S,4989
62,S,4998
104,S,4969
93,S,4954
126,S,4966
67,S,4982
120,S,4968
107,S,4978
94,S,4986
63,S,4990
105,S,4986
94,S,4984
95,S,4990
64,S,4989
96,S,4997
105,S,4962
106,S,4982
106,S,4950
95,S,4980
108,S,4970
127,S,4963
107,S,4987
118,S,4922
68,S,4950
96,S,4981
106,S,4969
128,S,4981
119,S,4988
108,S,4988
107,S,4969
120,S,4995
109,S,4989
109,S,4962
97,S,4976
65,S,4941
66,S,4997
121,S,4981
69,S,4966
110,S,4984
97,S,4933
111,S,4997
121,S,4911
98,S,4981
107,S,4956
108,S,4962
99,S,4996
112,S,4988
109,S,4997
110,S,4961
