
episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining
0,T,5000
0,T,5000
0,T,5000
0,T,5000
1,S,4994
2,S,4999
3,S,4994
4,S,4999
1,S,4985
2,S,4999
3,S,4989
4,S,4999
5,S,4979
6,S,4999
5,S,4986
6,S,4999
7,S,4991
8,S,4999
7,S,4981
8,S,4999
9,S,4987
10,S,4999
11,S,4998
12,S,4999
9,S,4980
10,S,4999
1,S,4925
2,S,4999
11,S,4991
12,S,4999
13,S,4977
14,S,4999
13,S,4979
14,S,4999
15,S,4983
16,S,4999
15,S,4978
16,S,4999
17,S,4981
18,S,4999
19,S,4991
20,S,4999
17,S,4980
18,S,4999
19,S,4998
20,S,4999
3,S,4914
4,S,4999
21,S,4989
22,S,4999
21,S,4978
22,S,4999

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining

episode,successRate,timeRemaining
0,T,5000
0,T,5000
0,T,5000
0,T,5000
1,S,4994
2,S,4999
1,S,4982
2,S,4999
3,S,4988
4,S,4999
3,S,4992
4,S,4999
5,S,4991
6,S,4999
5,S,4981
6,S,4999
7,S,4987
8,S,4999
7,S,4981
8,S,4999
9,S,4992
10,S,4999
9,S,4979
10,S,4999
11,S,4984
12,S,4999
11,S,4988
12,S,4999
13,S,4981
14,S,4999
13,S,4984
14,S,4999
15,S,4998
16,S,4999
17,S,4988
18,S,4999
15,S,4983
16,S,4999
1,S,4876
2,S,4999
17,S,4986
19,S,4982
18,S,4999
20,S,4999
19,S,4990
20,S,4999
21,S,4985
22,S,4999
21,S,4989
22,S,4999
3,S,4962
4,S,4999
23,S,4981
24,S,4999
23,S,4970
24,S,4999
25,S,4978
26,S,4999
25,S,4987
26,S,4999
27,S,4987
28,S,4999
27,S,4991
28,S,4999
29,S,4989
30,S,4999
29,S,4991
30,S,4999
1,S,4763
5,S,4927
2,S,4999
6,S,4999
31,S,4974
31,S,4971
32,S,4999
32,S,4999
33,S,4995
34,S,4999
35,S,4997
36,S,4999
33,S,4980
34,S,4999
37,S,4986
38,S,4999
3,S,4959
4,S,4999
39,S,4990
40,S,4999
7,S,4946
8,S,4999
35,S,4977
36,S,4999
41,S,4987
42,S,4999
37,S,4991
38,S,4999
39,S,4993
40,S,4999
9,S,4973
10,S,4999
5,S,4957
43,S,4981
6,S,4999
44,S,4999
45,S,4991
46,S,4999
41,S,4983
42,S,4999
47,S,4982
48,S,4999
43,S,4972
44,S,4999
45,S,4991
46,S,4999
47,S,4981
48,S,4999
49,S,4953
50,S,4999
11,S,4920
12,S,4999
49,S,4986
50,S,4999
51,S,4991
52,S,4999
53,S,4990
54,S,4999
13,S,4965
51,S,4964
14,S,4999
52,S,4999
53,S,4996
54,S,4999
55,S,4984
56,S,4999
55,S,4977
56,S,4999
57,S,4978
58,S,4999
57,S,4995
58,S,4999
59,S,4996
60,S,4999
59,S,4987
60,S,4999
61,S,4990
62,S,4999
63,S,4987
64,S,4999
61,S,4981
62,S,4999
15,S,4921
16,S,4999
65,S,4983
66,S,4999
63,S,4977
64,S,4999
67,S,4989
68,S,4999
65,S,4985
66,S,4999
69,S,4987
70,S,4999
67,S,4984
68,S,4999
71,S,4983
72,S,4999
69,S,4987
70,S,4999
71,S,4995
72,S,4999
73,S,4980
74,S,4999
75,S,4997
76,S,4999
77,S,4994
78,S,4999
73,S,4982
74,S,4999
75,S,4992
76,S,4999
17,S,4906
18,S,4999
79,S,4982
80,S,4999
7,S,4707
8,S,4999
77,S,4991
78,S,4999
81,S,4983
82,S,4999
79,S,4982
80,S,4999
83,S,4995
84,S,4999
81,S,4993
82,S,4999
83,S,4994
84,S,4999
85,S,4986
86,S,4999
85,S,4992
86,S,4999
87,S,4993
88,S,4999
89,S,4989
90,S,4999
91,S,4989
87,S,4976
92,S,4999
88,S,4999
19,S,4915
20,S,4999
93,S,4983
94,S,4999
21,S,4977
22,S,4999
95,S,4968
96,S,4999
97,S,4990
98,S,4999
99,S,4986
100,S,4999
9,S,4845
10,S,4999
101,S,4972
102,S,4999
103,S,4985
104,S,4999
11,S,4962
12,S,4999
105,S,4990
106,S,4999
107,S,4990
108,S,4999
23,S,4871
24,S,4999
109,S,4972
110,S,4999
111,S,4984
112,S,4999
113,S,4984
114,S,4999
25,S,4930
26,S,4999
115,S,4963
116,S,4999
117,S,4977
118,S,4999
119,S,4987
120,S,4999
27,S,4951
28,S,4999
121,S,4983
122,S,4999
123,S,4981
124,S,4999
125,S,4984
126,S,4999
13,S,4786
14,S,4999
15,S,4976
16,S,4999
89,S,4625
90,S,4999
29,S,4900
30,S,4999
127,S,4948
128,S,4999
91,S,4965
92,S,4999
93,S,4991
94,S,4999
129,S,4967
130,S,4999
95,S,4994
96,S,4999
97,S,4987
98,S,4999
17,S,4915
18,S,4999
31,S,4929
32,S,4999
19,S,4986
99,S,4977
20,S,4999
131,S,4958
100,S,4999
132,S,4999
101,S,4985
102,S,4999
